State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Region
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Sweet potato,131.9,700.35,Islands
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Tapioca,254.5,1480,Islands
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Turmeric,81.7,572,Islands
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Kharif     ,Rice,921.87,2539.64,Islands
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Arecanut,2000,2350,Islands
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Banana,483,4150,Islands
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Black pepper,413.1,20.18,Islands
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Cashewnut,79.5,26,Islands
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Coconut ,3483.09,14190000,Islands
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Dry chillies,124.6,34.7,Islands
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Dry ginger,100.9,900,Islands
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Oilseeds,24,14.98,Islands
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Sugarcane,53.5,999.5,Islands
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Sweet potato,30.4,220,Islands
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Tapioca,40,160,Islands
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Turmeric,10,60,Islands
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Autumn     ,Rice,1595.5,3788,Islands
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Autumn     ,Sugarcane,67.5,402,Islands
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Arecanut,1912,1900,Islands
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Arhar/Tur,20.5,13.2,Islands
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Black pepper,409,98,Islands
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Cashewnut,15,10.5,Islands
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Dry chillies,128,148,Islands
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Dry ginger,94,828.52,Islands
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Groundnut,15.5,7.6,Islands
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Maize,73,253,Islands
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Moong(Green Gram),29.9,17.85,Islands
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Sunflower,1,0.5,Islands
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Sweet potato,32,235,Islands
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Turmeric,10,105,Islands
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Urad,34,15.05,Islands
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Whole Year ,Banana,360,5517,Islands
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Whole Year ,Coconut ,3540,11000000,Islands
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Whole Year ,Tapioca,22.5,220,Islands
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Arhar/Tur,21400,2600,South India
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Bajra,1400,500,South India
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Castor seed,1000,100,South India
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Cotton(lint),7300,9400,South India
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Dry chillies,3700,7100,South India
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Groundnut,650800,228400,South India
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Horse-gram,3300,1000,South India
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Jowar,10100,10200,South India
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Korra,2200,700,South India
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Maize,2800,4900,South India
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Moong(Green Gram),1300,500,South India
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Other Kharif pulses,800,100,South India
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Ragi,6700,11800,South India
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Rice,35600,75400,South India
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Sugarcane,700,72900,South India
